Filename,RelFreq NOUN,RelFreq VERB,RelFreq ADJ,RelFreq ADV,Unique PER,Unique LOC,Unique ORG
0101.a5.txt,2040,1084,763,410,5,1,1
0102.a5.txt,1657,1034,876,268,7,3,5
0103.a5.txt,1844,1103,624,389,5,3,3
0104.a5.txt,1897,935,638,369,5,3,6
0105.a5.txt,1531,1042,554,582,2,4,3
0106.a5.txt,1996,964,849,656,2,0,0
0107.a5.txt,2000,1221,779,545,3,0,0
0108.a5.txt,2100,1062,765,328,7,0,5
0111.a5.txt,1670,1045,681,308,7,6,4
0112.a5.txt,2172,1081,643,581,3,0,2
0115.a5.txt,1330,1079,751,484,11,2,2
0119.a5.txt,1838,1093,737,232,7,3,3
0121.a5.txt,1544,1029,613,383,6,0,6
0122.a5.txt,1757,1026,723,366,6,0,1
0125.a5.txt,2229,1009,884,480,1,0,2
0128.a5.txt,1946,1133,833,484,1,6,0
0130.a5.txt,1659,929,738,286,14,2,1
0134.a5.txt,1752,987,710,474,4,1,3
0137.a5.txt,1797,1061,577,456,2,2,3
0139.a5.txt,1341,1195,525,315,9,3,5
0140.a5.txt,1716,1030,632,280,6,3,2
0149.a5.txt,2579,1238,825,365,1,0,2
0157.a5.txt,1737,1173,635,591,3,0,0
0158.a5.txt,1580,1203,764,544,7,0,3
0159.a5.txt,2112,1060,964,333,0,0,1
0161.a5.txt,2191,881,970,259,3,0,3
0163.a5.txt,2314,936,883,434,1,0,0
0165.a5.txt,2054,988,830,288,5,0,4
0171.a5.txt,1572,949,522,384,15,2,2
0178.a5.txt,1520,1018,794,461,9,5,3
0182.a5.txt,2265,1076,739,426,7,0,2
0185.a5.txt,1806,1048,724,221,4,3,3
0186.a5.txt,1959,967,886,398,6,0,0
0187.a5.txt,2283,1105,779,362,5,1,5
0188.a5.txt,1559,1055,745,458,6,1,2
0192.a5.txt,1658,1117,651,440,9,2,2
0193.a5.txt,2188,1077,835,396,1,0,1
0197.a5.txt,1505,887,374,334,7,1,5
0198.a5.txt,2138,1011,807,369,2,0,0
0199.a5.txt,1815,993,774,382,6,5,1
0200.a5.txt,1478,1165,696,426,5,3,4
0206.a5.txt,1481,952,708,358,5,1,5
0214.a5.txt,1628,1097,664,310,9,4,2
0215.a5.txt,1762,952,559,283,9,2,3
0219.a5.txt,2063,982,892,604,3,0,3
0222.a5.txt,1772,1152,697,416,0,1,1
0223.a5.txt,1587,1033,676,387,6,2,6
0227.a5.txt,1626,929,762,348,12,2,1
0234.a5.txt,1588,922,512,333,10,6,4
0238.a5.txt,1898,1145,668,329,3,1,0
1003.a5.txt,2205,1042,716,242,4,0,0
1005.a5.txt,1798,1000,581,357,3,1,4
1006.a5.txt,1605,1019,658,406,9,4,2
1008.a5.txt,1922,1021,877,431,6,0,1
1010.a5.txt,2231,877,887,305,5,0,8
1012.a5.txt,1975,1025,742,325,3,0,0
1013.a5.txt,1675,1126,689,297,3,3,2
1014.a5.txt,1852,1012,790,354,6,3,3
1018.a5.txt,2038,959,898,276,5,1,0
1021.a5.txt,1824,1138,660,401,4,0,5
1022.a5.txt,2377,1153,1055,456,1,0,0
1023.a5.txt,1647,995,676,435,7,3,3
1032.a5.txt,2159,1163,664,573,0,0,1
1034.a5.txt,1814,1014,748,379,4,3,6
1036.a5.txt,1384,944,660,310,5,1,3
1041.a5.txt,1637,865,720,437,11,2,6
1043.a5.txt,1473,1116,628,541,8,1,0
1048.a5.txt,2152,1006,673,410,3,0,6
1050.a5.txt,1610,1107,765,483,6,4,1
1055.a5.txt,1800,1065,1047,459,1,2,1
1057.a5.txt,1370,1207,612,343,6,2,2
1061.a5.txt,1457,1072,586,235,15,2,3
1062.a5.txt,1488,869,772,451,7,2,6
1064.a5.txt,2183,1237,606,582,2,0,2
1065.a5.txt,1817,966,727,388,10,3,4
1067.a5.txt,1746,1065,639,341,8,4,4
1068.a5.txt,1964,1309,727,509,2,2,1
1070.a5.txt,1355,1191,700,327,11,2,2
1072.a5.txt,1390,1056,543,461,5,3,8
1074.a5.txt,1906,1070,845,531,3,1,1
1081.a5.txt,2038,1071,900,417,2,0,4
1088.a5.txt,1358,1116,856,320,7,0,0
1094.a5.txt,1482,1348,548,252,9,1,2
1095.a5.txt,1487,1041,814,420,7,1,1
1099.a5.txt,1540,1110,611,336,11,1,0
1100.a5.txt,1587,1118,572,324,4,1,4
1102.a5.txt,2066,1006,692,314,3,1,2
1104.a5.txt,1669,990,579,445,9,5,6
1112.a5.txt,1994,1088,1020,521,6,0,1
1121.a5.txt,1509,1062,674,505,4,2,2
2005.a5.txt,1922,1120,619,337,4,1,4
2007.a5.txt,1534,873,705,560,7,3,2
2012.a5.txt,2038,830,717,370,5,2,4
2014.a5.txt,2201,1019,832,459,5,0,3
2015.a5.txt,1846,946,764,333,4,2,5
2019.a5.txt,1804,1164,667,364,9,5,2
2020.a5.txt,2007,911,815,254,4,1,2
2021.a5.txt,1753,961,945,344,3,1,5
2026.a5.txt,1791,840,737,438,4,5,1
2028.a5.txt,2038,913,734,439,13,1,1
2032.a5.txt,1688,903,987,338,4,1,3
2034.a5.txt,1715,884,610,373,6,2,12
2035.a5.txt,1802,889,663,468,3,0,0
2036.a5.txt,1817,1126,621,443,4,0,2
2039.a5.txt,1277,987,737,423,12,2,3
2040.a5.txt,2002,975,847,334,11,0,7
2045.a5.txt,1915,1034,737,324,6,2,2
2048.a5.txt,1479,766,1036,323,14,1,5
2049.a5.txt,2249,1130,1098,338,5,1,0
2050.a5.txt,1669,872,683,461,7,3,9
2058.a5.txt,1436,937,622,346,8,1,5
2066.a5.txt,2135,1148,844,275,5,2,0
2071.a5.txt,2284,1061,892,401,2,0,1
2075.a5.txt,1990,815,623,416,10,1,3
